timestep,S,Is,Ir,R,E
0,10,4200,1790,0,0
1,59,4168,1755,6,12
2,62,4162,1749,11,16
3,62,4153,1741,23,21
4,73,4143,1734,27,23
5,80,4134,1725,36,25
6,78,4123,1723,47,29
7,77,4110,1718,62,33
8,89,4098,1702,74,37
9,100,4087,1689,87,37
10,104,4073,1681,100,42
11,102,4045,1666,136,51
12,98,4033,1657,155,57
13,103,4014,1647,175,61
14,111,3999,1628,195,67
15,175,3930,1575,230,90
16,186,3905,1557,259,93
17,195,3872,1544,286,103
18,213,3846,1517,323,101
19,202,3810,1503,381,104
20,207,3779,1483,424,107
21,200,3746,1461,481,112
22,194,3718,1442,533,113
23,204,3689,1417,582,108
24,202,3652,1404,628,114
25,200,3619,1385,684,112
26,196,3584,1372,739,109
27,188,3558,1358,782,114
28,173,3545,1346,834,102
29,211,3483,1304,899,103
30,203,3460,1292,957,88
31,191,3439,1278,1011,81
32,176,3410,1267,1068,79
33,159,3385,1252,1133,71
34,153,3359,1238,1167,83
35,160,3338,1223,1205,74
36,158,3311,1211,1246,74
37,150,3281,1200,1297,72
38,148,3254,1185,1338,75
39,137,3232,1169,1394,68
40,123,3212,1162,1431,72
41,129,3195,1147,1463,66
42,113,3184,1137,1506,60
43,140,3137,1109,1541,73
44,127,3125,1104,1575,69
45,116,3114,1096,1617,57
46,111,3091,1089,1657,52
47,100,3081,1082,1693,44
48,99,3063,1075,1724,39
49,103,3049,1063,1747,38
50,99,3037,1055,1773,36
51,97,3018,1045,1805,35
52,90,3010,1036,1832,32
53,73,2997,1031,1869,30
54,73,2990,1025,1883,29
55,67,2981,1021,1904,27
56,53,2976,1020,1930,21
57,77,2942,997,1944,40
58,68,2930,995,1969,38
59,60,2921,993,1990,36
60,53,2916,991,2012,28
61,51,2908,989,2029,23
62,47,2900,988,2042,23
63,41,2890,985,2061,23
64,48,2880,983,2071,18
65,39,2876,980,2087,18
66,40,2868,978,2095,19
67,31,2865,977,2111,16
68,27,2863,975,2119,16
69,26,2860,974,2123,17
70,24,2854,971,2134,17
71,50,2817,954,2151,28
72,40,2812,951,2175,22
73,38,2806,950,2186,20
74,35,2801,947,2197,20
75,31,2796,945,2210,18
76,30,2794,943,2216,17
77,30,2790,940,2224,16
78,26,2786,939,2234,15
79,23,2783,939,2244,11
80,20,2781,938,2250,11
81,14,2778,937,2262,9
82,17,2775,936,2263,9
83,18,2771,934,2273,4
84,16,2770,934,2276,4
85,44,2735,918,2286,17
86,37,2732,917,2303,11
87,30,2726,915,2318,11
88,29,2720,914,2324,13
89,26,2716,913,2336,9
90,22,2712,912,2346,8
91,23,2709,909,2352,7
92,16,2708,909,2361,6
93,14,2706,908,2365,7
94,12,2705,908,2369,6
95,5,2702,908,2377,8
96,3,2702,908,2382,5
97,1,2702,908,2387,2
98,0,2702,908,2389,1
